FIPS,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013
28097,26.8,7
28099,52.1,7
28101,37.6,7
28103,16.6,7
28105,104,5
28107,50.7,6
28109,68.9,6
28111,18.9,3
28113,98.8,6
28115,60.2,7
28117,60.9,7
28119,20.3,6
28121,182.6,2
28123,46.4,6
28125,11.4,8
28127,46.7,2
28129,25.9,8
28131,39.9,6
28133,42.2,7
28135,23.8,7
28137,71.4,1
28139,48.6,6
28141,46.2,8
28143,23.7,1
28145,65.3,6
28147,38.2,9
28149,82.9,4
28151,70.6,5
28153,25.6,7
28155,24.4,9
28157,14.6,8
28159,31.6,7
28161,27.1,7
28163,30.4,2
29000,87.1,NA
29001,45.1,7
29003,40,3
29005,10.4,9
29007,36.9,6
29009,45.7,6
29011,21,6
29013,20.4,1
29015,27.1,7
29017,20,3
29019,237.3,3
29021,218.6,3
29023,61.6,5
29025,22.1,1
29027,53.1,3
29029,67.1,7
29031,130.8,3
29033,13.4,6
29035,12.3,9
29037,142.8,1
29039,29.5,6
29041,10.4,9
29043,137.6,2
29045,14.1,9
29047,558.6,1
29049,49.5,1
29051,193,3
29053,31.2,6
29055,33.3,6
29057,16.1,8
29059,31,2
29061,15,8
29063,30.6,3
29065,20.8,7
29067,16.8,6
29069,59.1,7
29071,110,1
29073,29.4,6
29075,13.7,8
29077,407.5,2
29079,23.6,7
29081,12.4,7
29083,32,6
29085,24.1,8
29087,10.6,8
29089,21.9,6
29091,43.6,7
29093,19.3,7
29095,1115.3,1
29097,183.9,3
29099,333.1,1
