FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
26139,2,468.2
26141,7,20.3
26143,7,47.1
26145,3,250.2
26147,1,226.1
26149,4,122.4
26151,6,44.8
26153,7,7.2
26155,4,133.1
26157,6,69.4
26159,2,125.5
26161,2,488.4
26163,1,2974.4
26165,7,57.9
27000,NA,66.6
27001,8,8.9
27003,1,782.1
27005,6,24.7
27007,7,17.7
27009,3,94.2
27011,9,10.6
27013,3,85.6
27015,6,42.4
27017,2,41.1
27019,1,256.9
27021,9,14.1
27023,7,21.4
27025,1,129.9
27027,3,56.4
27029,8,8.7
27031,9,3.6
27033,7,18.3
27035,4,62.6
27037,1,709
27039,3,45.7
27041,6,56.5
27043,6,20.4
27045,3,24.2
27047,7,44.2
27049,4,61
27051,9,11
27053,1,2081.7
27055,3,34.5
27057,7,22.1
27059,1,86.8
27061,6,16.9
27063,7,14.6
27065,6,31.1
27067,4,53
27069,9,4.1
27071,6,4.3
27073,9,9.5
27075,6,5.2
27077,9,3.1
27079,1,61.7
27081,9,11
27083,7,36.2
27085,6,74.6
27087,8,9.7
27089,8,5.3
27091,7,29.3
27093,6,38.3
27095,1,45.6
27097,6,29.5
27099,4,55.1
27101,9,12.4
27103,3,73
27105,7,29.9
27107,8,7.9
27109,3,220.8
27111,6,29.1
27113,6,22.6
27115,6,21.1
27117,6,20.6
27119,3,16
27121,8,16.4
27123,1,3341.6
27125,8,9.5
27127,7,18.3
27129,8,16
27131,4,129.4
27133,6,20.1
27135,7,9.3
27137,2,32
27139,1,364.5
27141,1,204.4
27143,1,25.9
27145,3,112.2
27147,5,85.1
27149,7,17.3
27151,7,13.2
27153,6,26.3
27155,9,6.2
27157,3,41.4
27159,7,25.8
27161,6,45.2
27163,1,619.7
27165,6,25.8
27167,6,8.8
27169,4,82.2
27171,1,188.5
27173,9,13.8
28000,NA,63.2
28001,5,69.8
28003,7,92.6
28005,8,18
28007,6,26.6
28009,1,21.5
28011,7,39
28013,9,25.5
28015,9,16.9
28017,7,34.7
28019,9,20.4
28021,8,19.7
28023,9,24.2
28025,7,50.3
28027,7,47.3
28029,2,37.9
28031,8,47.3
28033,1,338.7
28035,3,160.7
28037,9,14.4
28039,6,47.2
28041,8,20.2
28043,7,51.9
28045,2,92.7
28047,2,326
28049,2,282
28051,6,25.4
28053,6,22.4
28055,8,3.4
28057,7,43.9
28059,2,193.2
28061,9,25.2
28063,8,14.9
28065,8,30.6
28067,4,97.5
28069,9,13.6
28071,4,75
28073,3,112
28075,5,114.1
28077,8,30
28079,6,40.8
28081,5,184.3
28083,5,54.5
28085,6,59.5
28087,5,118.3
28089,2,133.2
28091,6,49.9
28093,1,52.6
28095,7,48.3
28097,7,26.8
28099,7,52.1
28101,7,37.6
28103,7,16.6
28105,5,104
28107,6,50.7
28109,6,68.9
28111,3,18.9
28113,6,98.8
28115,7,60.2
28117,7,60.9
28119,6,20.3
28121,2,182.6
28123,6,46.4
28125,8,11.4
28127,2,46.7
28129,8,25.9
28131,6,39.9
28133,7,42.2
28135,7,23.8
28137,1,71.4
28139,6,48.6
28141,8,46.2
28143,1,23.7
28145,6,65.3
28147,9,38.2
28149,4,82.9
28151,5,70.6
28153,7,25.6
28155,9,24.4
28157,8,14.6
28159,7,31.6
28161,7,27.1
28163,2,30.4
29000,NA,87.1
29001,7,45.1
29003,3,40
29005,9,10.4
29007,6,36.9
29009,6,45.7
29011,6,21
29013,1,20.4
29015,7,27.1
29017,3,20
29019,3,237.3
29021,3,218.6
29023,5,61.6
29025,1,22.1
29027,3,53.1
29029,7,67.1
29031,3,130.8
29033,6,13.4
29035,9,12.3
29037,1,142.8
29039,6,29.5
29041,9,10.4
29043,2,137.6
29045,9,14.1
29047,1,558.6
29049,1,49.5
29051,3,193
29053,6,31.2
29055,6,33.3
29057,8,16.1
29059,2,31
29061,8,15
29063,3,30.6
29065,7,20.8
29067,6,16.8
29069,7,59.1
29071,1,110
29073,6,29.4
29075,8,13.7
29077,2,407.5
29079,7,23.6
29081,7,12.4
29083,6,32
29085,8,24.1
29087,8,10.6
29089,6,21.9
29091,7,43.6
29093,7,19.3
29095,1,1115.3
29097,3,183.9
29099,1,333.1
