,FIPS,x,y,cluster
1710,31141,6.978772257496152e-06,2.5056379796803254e-06,4
1711,31143,4.978949132298755e-05,1.5830689021944852e-05,4
1712,31145,2.6649960230193077e-05,9.865526699696393e-06,2
1713,31147,3.622454001779066e-05,1.5937527685303165e-05,4
1714,31149,0.0001870674740484429,0.00010488754325259514,4
1715,31151,1.4825966079471645e-05,8.007867037356287e-06,4
1716,31153,1.1378357210632154e-06,3.0562711257487737e-07,2
1717,31155,1.183294241324055e-05,3.6071744377048016e-06,4
1718,31157,6.776517115429667e-06,3.876597064665872e-06,4
1719,31159,1.373397717667067e-05,3.851115231622875e-06,4
1720,31161,4.46241289570502e-05,3.096216601512468e-05,4
1721,31163,8.711250645217633e-05,4.51814865554198e-05,4
1722,31165,0.00022711642342734296,0.00014052828699566848,4
1723,31167,5.0251256281407036e-05,1.2513713177837822e-05,4
1724,31169,5.391563585340162e-05,2.0794343119500404e-05,4
1725,31171,0.00035300925925925924,0.00020640432098765433,4
1726,31173,2.756225417914554e-05,3.234346153675242e-05,4
1727,31175,5.673241779210645e-05,2.9106692260809632e-05,4
1728,31177,1.1146622738718465e-05,3.331578272883086e-06,4
1729,31179,2.1670185677864388e-05,1.3312008634053435e-05,4
1730,31181,6.905895319285097e-05,3.605165769928415e-05,4
1731,31183,0.00043208209559816364,0.00017283283823926545,4
1732,31185,1.7736256425860466e-05,6.616825747459835e-06,4
1733,32001,1.1329057299214348e-05,4.6139917122262076e-06,4
1734,32003,9.706122420340578e-08,6.183968738736775e-08,2
1735,32005,6.3442665909028225e-06,1.471658699909485e-06,2
1736,32007,4.508636393300184e-06,1.553749936956124e-06,4
1737,32009,0.0003268471996669969,0.00017441621865637953,4
1738,32011,0.00014032869816593135,4.710856830081886e-05,4
1739,32013,1.2889955032653678e-05,7.016365941507797e-06,2
1740,32015,4.1183213014538803e-05,1.9819421263246798e-05,4
1741,32017,4.868689377285017e-05,2.4214058786041656e-05,4
1742,32019,4.975384969962546e-06,1.8632007602408784e-06,4
1743,32021,5.923578669934271e-05,4.618133826353064e-05,4
1744,32023,6.146597096492455e-06,3.2705012638588303e-06,4
1745,32027,3.85277051557541e-05,2.000650110015502e-05,4
1746,32029,6.998158855865096e-05,1.8850674382876047e-05,4
1747,32031,4.845716695919539e-07,2.1957124964470815e-07,3
1748,32033,2.6020425922960714e-05,1.2052269198905606e-05,4
1749,32510,4.75264462137685e-06,1.9383130592322198e-06,4
1750,33001,3.802685233091838e-06,1.1142189994419518e-06,4
1751,33003,4.7154926406644935e-06,1.8315612235308256e-06,4
1752,33005,2.633144511725913e-06,1.2488081357292951e-06,1
1753,33007,7.462933953562638e-06,3.836190569925847e-06,4
1754,33009,1.975680584921371e-06,9.212896153833756e-07,4
1755,33011,4.713215016640462e-07,1.7483609340059064e-07,3
1756,33013,1.4050245874609467e-06,4.4433486657550624e-07,1
1757,33015,6.687638292455279e-07,1.702064464439867e-07,3
1758,33017,1.420517655660623e-06,6.89754683632548e-07,1
1759,33019,4.613719861084527e-06,2.561506322502448e-06,4
1760,34001,7.215068451658718e-07,4.7077072579509893e-07,0
1761,34003,1.5269573330079685e-07,7.226303296513071e-08,0
1762,34005,4.3871733000275545e-07,1.3503260369142689e-07,3
1763,34007,3.5894560216382327e-07,2.5052493476989006e-07,0
1764,34009,2.2156200019571972e-06,1.0884341227610823e-06,1
1765,34011,1.127912668095166e-06,9.402197167138405e-07,1
1766,34013,1.8977771692191563e-07,1.8174022326365266e-07,0
1767,34015,6.580653145155569e-07,2.5752890668087606e-07,3
1768,34017,1.8339010094447048e-07,2.0939115033153903e-07,2
1769,34019,1.244857953232318e-06,3.41850518403896e-07,1
1770,34021,3.904864827678032e-07,2.7989873366419e-07,4
1771,34023,1.761853822824807e-07,9.562054070661539e-08,0
1772,34025,2.7287034689076845e-07,1.0717963886416706e-07,3
1773,34027,2.904061976176633e-07,9.407957173826605e-08,3
1774,34029,3.2331822398196855e-07,1.5847665023539432e-07,1
1775,34031,2.7913600630848084e-07,2.659629942869934e-07,0
1776,34033,3.2755588858950325e-06,1.7580712113640211e-06,1
1777,34035,4.205997117409102e-07,1.4691401035336234e-07,3
1778,34037,1.4485714704669295e-06,3.648541785662605e-07,4
1779,34039,2.7024573159717866e-07,1.3896471238393983e-07,0
