,mean,se_mean,sd,n_eff,Rhat
"prediction[1,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[2,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[3,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[4,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[5,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[6,1]",235.98651148338362,59.641109091681656,93.51331930461285,2.4584168475924573,2.4939474588153026
"prediction[7,1]",174.52928379436864,40.953708026877806,63.84226804741442,2.4301336273628267,2.4993910230844856
"prediction[8,1]",204.46578762878315,47.89052620895444,74.65119592160995,2.429821223713623,2.4987843818713404
"prediction[9,1]",158.21918051599735,24.21495645049846,42.090174118724725,3.0213014563941933,1.8261668730206155
"prediction[10,1]",168.6994531119587,25.001529458485948,43.80454268696178,3.069765118267888,1.7954352829201334
"prediction[11,1]",174.54493355751436,24.061554750331176,43.21303312670395,3.225389211328006,1.7187386760844594
"prediction[12,1]",177.46182842574396,21.817074412610225,41.08488258598199,3.5462640914782972,1.6061491158237813
"prediction[13,1]",178.91046544599928,18.718152551625273,38.249125428576654,4.175582357500146,1.4737352286699623
"prediction[14,1]",179.78274085642596,14.987373086283588,35.33998345429329,5.560087762258045,1.3378702569245895
"prediction[15,1]",180.54801331283394,10.739548717508999,32.84690068276457,9.35441708408724,1.2149441254996314
"prediction[16,1]",181.42860893005516,6.598152101122067,31.19500419442587,22.352466429094687,1.1212715667658206
"prediction[17,1]",182.52153213296282,4.171134550390551,30.7642956870992,54.398328470677406,1.0711731278440368
"prediction[18,1]",183.86778047465893,4.491920506288506,31.827193149006956,50.203333541670425,1.0726226304016682
"prediction[19,1]",185.48704299303336,7.985036484361425,34.470156845055264,18.635142128724805,1.123663036769349
"prediction[20,1]",187.3931480032843,13.315696558162061,38.6000694122684,8.403271430530818,1.2140201294829762
"prediction[21,1]",150.62571469785567,25.895644085445465,41.87528597743415,2.6149424609217244,2.1547053618108882
"prediction[22,1]",150.0226419959579,23.730306316900226,39.04973328899363,2.7078802546801195,2.0407497619324166
"prediction[23,1]",148.41575197761645,22.70086629030565,37.58533603074802,2.741271263637771,2.0035911494821366
